topology,nodes,edges,method,k,objective,time_sec
BELNET,22,25,Greedy,3,24.529375446225522,0.0
BELNET,22,25,LocalSearch,3,24.529375446225522,0.0
BELNET,22,25,ILP,3,24.529375446225522,0.034999847412109375
GARR,22,24,Greedy,3,271.29468983035525,0.0
GARR,22,24,LocalSearch,3,271.29468983035525,0.0009999275207519531
GARR,22,24,ILP,3,271.2946898303553,0.02500009536743164
GARR,22,24,Greedy,3,281.57275849586694,0.0
GARR,22,24,LocalSearch,3,281.57275849586694,0.0
GARR,22,24,ILP,3,281.572758495867,0.0279998779296875
Hibernia Atlantic (US),22,29,Greedy,3,0.0,0.0
Hibernia Atlantic (US),22,29,LocalSearch,3,0.0,0.0
Hibernia Atlantic (US),22,29,ILP,3,0.0,0.039999961853027344
AboveNet,23,31,Greedy,3,1549.7413617980196,0.0
AboveNet,23,31,LocalSearch,3,1549.7413617980196,0.0010001659393310547
AboveNet,23,31,ILP,3,1549.7413617980194,0.03399991989135742
ACOnet,23,31,Greedy,3,4.499442887737164,0.0
ACOnet,23,31,LocalSearch,3,4.499442887737164,0.0
ACOnet,23,31,ILP,3,4.499442887737164,0.034999847412109375
BELNET,23,39,Greedy,3,6.991714110145089,0.0
BELNET,23,39,LocalSearch,3,6.991714110145089,0.0
BELNET,23,39,ILP,3,6.991714110145089,0.03900003433227539
BELNET,23,39,Greedy,3,6.991714110145089,0.0
BELNET,23,39,LocalSearch,3,6.991714110145089,0.0010001659393310547
BELNET,23,39,ILP,3,6.991714110145089,0.03600001335144043
BELNET,23,41,Greedy,3,0.0,0.0
BELNET,23,41,LocalSearch,3,0.0,0.0
BELNET,23,41,ILP,3,0.0,0.03600001335144043
BELNET,23,41,Greedy,3,0.0,0.0
BELNET,23,41,LocalSearch,3,0.0,0.0
BELNET,23,41,ILP,3,0.0,0.03600001335144043
CESNET,23,23,Greedy,3,96.13388657119962,0.0
CESNET,23,23,LocalSearch,3,96.13388657119961,0.0
CESNET,23,23,ILP,3,96.13388657119961,0.031000137329101562
FCCN,23,25,Greedy,3,461.33814535981605,0.0
FCCN,23,25,LocalSearch,3,247.99637062160744,0.0
FCCN,23,25,ILP,3,247.9963706216074,0.03400015830993652
GARR,23,25,Greedy,3,261.11785378638183,0.0
GARR,23,25,LocalSearch,3,261.1178537863818,0.0010001659393310547
GARR,23,25,ILP,3,261.1178537863818,0.03099989891052246
GARR,23,25,Greedy,3,292.2350883256616,0.0
GARR,23,25,LocalSearch,3,292.2350883256616,0.0
GARR,23,25,ILP,3,292.23508832566165,0.029000043869018555
iSTAR,23,23,Greedy,3,871.877317262186,0.0
iSTAR,23,23,LocalSearch,3,769.3177481731622,0.0
iSTAR,23,23,ILP,3,769.3177481731623,0.03500008583068848
KentMan,23,23,Greedy,3,0.0,0.0
KentMan,23,23,LocalSearch,3,0.0,0.0
KentMan,23,23,ILP,3,0.0,0.03099989891052246
YorkDataServices,23,24,Greedy,3,0.0,0.0
YorkDataServices,23,24,LocalSearch,3,0.0,0.0
YorkDataServices,23,24,ILP,3,0.0,0.03600001335144043
BT Europe,24,37,Greedy,3,247.13100123400568,0.0
BT Europe,24,37,LocalSearch,3,247.1310012340057,0.0
BT Europe,24,37,ILP,3,247.1310012340057,0.03900003433227539
GARR,24,26,Greedy,3,315.3249015542864,0.0
GARR,24,26,LocalSearch,3,300.2648109829549,0.0
GARR,24,26,ILP,3,300.2648109829549,0.03399991989135742
Hurricane Electric ,24,37,Greedy,3,9242.080117004803,0.0
Hurricane Electric ,24,37,LocalSearch,3,7647.308686304848,0.0
Hurricane Electric ,24,37,ILP,3,7647.308686304849,0.07899999618530273
PsiNet,24,25,Greedy,3,2391.6789218089884,0.0
PsiNet,24,25,LocalSearch,3,2329.507542355101,0.0
PsiNet,24,25,ILP,3,2329.5075423551007,0.03400015830993652
Renater,24,23,Greedy,3,545.1181283472331,0.0
Renater,24,23,LocalSearch,3,545.1181283472332,0.0
Renater,24,23,ILP,3,545.1181283472331,0.039999961853027344
Renater,24,27,Greedy,3,371.64746177066104,0.0
Renater,24,27,LocalSearch,3,356.1905200634246,0.0
Renater,24,27,ILP,3,356.1905200634246,0.0409998893737793
URAN,24,24,Greedy,3,549.5395827597591,0.0
URAN,24,24,LocalSearch,3,501.9243561378708,0.0
URAN,24,24,ILP,3,501.92435613787086,0.03299999237060547
Vision Net,24,23,Greedy,3,925.42179526605,0.0
Vision Net,24,23,LocalSearch,3,470.02623737906737,0.0
Vision Net,24,23,ILP,3,470.02623737906737,0.03699994087219238
Xeex,24,34,Greedy,3,1797.0056109559264,0.0
Xeex,24,34,LocalSearch,3,1196.8992202178881,0.0010001659393310547
Xeex,24,34,ILP,3,1196.8992202178881,0.03399991989135742
AGIS,25,30,Greedy,3,2391.927834523538,0.0
AGIS,25,30,LocalSearch,3,1192.9095150942915,0.0
AGIS,25,30,ILP,3,1192.9095150942915,0.03599977493286133
AMRES,25,24,Greedy,3,214.22548608319147,0.0
AMRES,25,24,LocalSearch,3,166.08831856182783,0.0
AMRES,25,24,ILP,3,166.0883185618278,0.03600001335144043
ARPANET,25,28,Greedy,3,821.3421975139138,0.0
ARPANET,25,28,LocalSearch,3,546.4090016189305,0.0
ARPANET,25,28,ILP,3,546.4090016189306,0.0410001277923584
ATT North America,25,56,Greedy,3,1117.7655251708939,0.0
ATT North America,25,56,LocalSearch,3,1088.632233081346,0.0
ATT North America,25,56,ILP,3,1088.632233081346,0.03899979591369629
KAREN,25,28,Greedy,3,269.6840724591102,0.0
KAREN,25,28,LocalSearch,3,269.6840724591102,0.0
KAREN,25,28,ILP,3,269.68407245911015,0.03500008583068848
Uni-C,25,27,Greedy,3,154.05629475485577,0.0
Uni-C,25,27,LocalSearch,3,122.77810685380776,0.0
Uni-C,25,27,ILP,3,122.77810685380774,0.03899979591369629
VinaREN,25,26,Greedy,3,2483.4176037015723,0.0009999275207519531
VinaREN,25,26,LocalSearch,3,2315.1589718821815,0.0
VinaREN,25,26,ILP,3,2315.1589718821815,0.03399991989135742
FUNET,26,30,Greedy,3,58.30385422340074,0.0
FUNET,26,30,LocalSearch,3,58.30385422340074,0.0
FUNET,26,30,ILP,3,58.30385422340074,0.04800009727478027
KentMan,26,27,Greedy,3,39.251763504857415,0.0
KentMan,26,27,LocalSearch,3,19.80667060264577,0.0
KentMan,26,27,ILP,3,19.806670602645774,0.0409998893737793
OPTOSUNET,26,32,Greedy,3,826.9856489791295,0.0
OPTOSUNET,26,32,LocalSearch,3,512.8011657651405,0.0
OPTOSUNET,26,32,ILP,3,512.8011657651406,0.04200005531311035
BBNplanet,27,28,Greedy,3,2313.5069365357367,0.0
BBNplanet,27,28,LocalSearch,3,1992.0082125698914,0.0
BBNplanet,27,28,ILP,3,1992.0082125698914,0.048999786376953125
GARR,27,28,Greedy,3,361.0506607142619,0.0
GARR,27,28,LocalSearch,3,312.83132572970896,0.0
GARR,27,28,ILP,3,312.83132572970896,0.04699993133544922
GEANT,27,38,Greedy,3,2580.733172100949,0.0
GEANT,27,38,LocalSearch,3,2524.7167862032725,0.0
GEANT,27,38,ILP,3,2524.716786203273,0.04900002479553223
Integra Telecom ,27,36,Greedy,3,0.0,0.0
Integra Telecom ,27,36,LocalSearch,3,0.0,0.0
Integra Telecom ,27,36,ILP,3,0.0,0.05200004577636719
Darkstrand ,28,31,Greedy,3,3304.973028378969,0.0
Darkstrand ,28,31,LocalSearch,3,1874.112913742113,0.0009999275207519531
Darkstrand ,28,31,ILP,3,1874.112913742113,0.04999995231628418
Gambia,28,28,Greedy,3,107.28363524108549,0.0
Gambia,28,28,LocalSearch,3,107.28363524108549,0.0
